"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xdf63942eaa6e194e8078dc19ff0f2b34469ddf1a8b2d71099650eda599b8fa32","1609388572","2020-12-31 04:22:52","0x4c9165fda1cce32e62e7f0362a18c8c98b15f605","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","4.75","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x898fbf7ae1e742809de0c4ea79c6a1bef85082bc29c5a09f0b3e225e63b1f4bc","1609402793","2020-12-31 08:19:53","0xd152f549545093347a162dce210e7293f1452150","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0.218181818181818181","0x9a0aba393aac4dfbff4333b06c407458002c6183","ACoconut","AC",""
"0x3fdc594c092abf8e4c5fd5ce7b5d8af566af4d5f6cff24bcd296205b8b9c44f0","1609645296","2021-01-03 03:41:36","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0xf232d640a5700724748464ba8bd8bed21db609a6","10,000","0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7","SKALE","SKL",""
"0x602a6a4d3c368d5676d8f8798443339a419c67d1fea82e00fd1ea9b43bfb0807","1609645501","2021-01-03 03:45:01","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0x64c9cfa988bbe7b2df671af345bcf8fa904cebb8","713.513250234299146383","0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4","Sora Validator Token","VAL",""
"0x77ed508ac125b63c29820fa86a5610856587e55c530c3035014750cc1594a51e","1609645741","2021-01-03 03:49:01","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0x3185626c14acb9531d19560decb9d3e5e80681b1","13.139291047","0x7de91b204c1c737bcee6f000aaa6569cf7061cb7","Robonomics","XRT",""
"0x437cebf17c73934785c7384dcb0b18c766b50e4325c11f2d57c4bf6581086f93","1609699493","2021-01-03 18:44:53","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0x2c6264619d2f598a003d1c857e46edb95b22c75c","463.799420924160603725","0x111111111117dc0aa78b770fa6a738034120c302","1INCH Token","1INCH",""
"0x437cebf17c73934785c7384dcb0b18c766b50e4325c11f2d57c4bf6581086f93","1609699493","2021-01-03 18:44:53","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0x2c6264619d2f598a003d1c857e46edb95b22c75c","501.156706350838459937","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x437cebf17c73934785c7384dcb0b18c766b50e4325c11f2d57c4bf6581086f93","1609699493","2021-01-03 18:44:53","0x0000000000000000000000000000000000000000","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","581.053717586362262367","0x2c6264619d2f598a003d1c857e46edb95b22c75c","1inch Liquidity Pool (1INCH-DAI)","1LP-1INCH-DAI",""
"0x850dccd13a46d4051f9fea1548b0b6668e89be3f92b90f5479e3ea2154085d24","1609701468","2021-01-03 19:17:48","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","0x94bc2a1c732bcad7343b25af48385fe76e08734f","581.053717586362262367","0x2c6264619d2f598a003d1c857e46edb95b22c75c","1inch Liquidity Pool (1INCH-DAI)","1LP-1INCH-DAI",""
"0x850dccd13a46d4051f9fea1548b0b6668e89be3f92b90f5479e3ea2154085d24","1609701468","2021-01-03 19:17:48","0x0000000000000000000000000000000000000000","0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","581.053717586362262367","0x94bc2a1c732bcad7343b25af48385fe76e08734f","Farming: 1inch Liquidity Pool (1INCH-DAI)","farm-1LP-1INCH-DAI",""
